sale_id,product_name,category,quantity,unit_price,sale_date,customer_type
1,Cooking Oil 1L,Grocery,9.0,145.0,2026-03-04,Regular
2,Tea Powder 250g,Grocery,18.0,116.0,2026-01-23,Wholesale
3,Paneer 200g,Dairy,1.0,75.0,2026-01-24,Regular
4,Toothpaste,Personal Care,20.0,93.0,2026-01-07,Wholesale
5,Shampoo,Personal Care,18.0,185.0,2026-04-18,Regular
6,Detergent 1kg,Household,9.0,134.0,2026-01-02,Regular
7,Paneer 200g,Dairy,9.0,80.0,2026-02-09,Regular
8,Namkeen 200g,Snacks,3.0,56.0,2026-04-08,Regular
9,Milk 1L,Dairy,20.0,55.0,2026-03-09,Regular
10,Detergent 1kg,Household,4.0,133.0,2026-04-07,Regular
11,Chips,Snacks,20.0,25.0,2026-04-03,Wholesale
12,Shampoo,Personal Care,2.0,176.0,2026-06-19,Regular
13,Chips,Snacks,8.0,16.0,2026-01-26,Walk-in
14,Biscuits,Snacks,12.0,32.0,2026-02-11,Walk-in
15,Milk 1L,Dairy,9.0,53.0,2026-06-29,Wholesale
16,Sugar 1kg,Grocery,6.0,49.0,2026-05-17,Wholesale
17,Toothpaste,Personal Care,15.0,87.0,2026-04-08,Walk-in
18,Toothpaste,Personal Care,11.0,95.0,2026-01-15,Regular
19,Wheat Flour 5kg,Grocery,13.0,220.0,2026-03-10,Regular
20,Shampoo,Personal Care,11.0,184.0,2026-02-24,Wholesale
21,Dishwash Liquid,Household,15.0,96.0,2026-02-06,Walk-in
22,Tea Powder 250g,Grocery,18.0,118.0,2026-05-18,Walk-in
23,Paneer 200g,Dairy,13.0,84.0,2026-04-03,Regular
24,Tea Powder 250g,Grocery,16.0,123.0,2026-01-24,Regular
25,Cooking Oil 1L,Grocery,6.0,147.0,2026-06-24,Walk-in
26,Sugar 1kg,Grocery,13.0,46.0,2026-06-02,Walk-in
27,Biscuits,Snacks,1.0,33.0,2026-06-24,Wholesale
28,Cooking Oil 1L,Grocery,18.0,155.0,2026-03-10,Wholesale
29,Namkeen 200g,Snacks,10.0,56.0,2026-04-22,Regular
30,Detergent 1kg,Household,9.0,125.0,2026-05-09,Regular
31,Cooking Oil 1L,Grocery,10.0,155.0,2026-06-13,Wholesale
32,Shampoo,Personal Care,12.0,177.0,2026-02-11,Wholesale
33,Rice 5kg,Grocery,,354.0,2026-05-06,Regular
34,Cooking Oil 1L,Grocery,10.0,150.0,2026-03-03,Regular
35,Toothpaste,Personal Care,3.0,,2026-01-22,Wholesale
36,Dishwash Liquid,Household,18.0,91.0,2026-02-02,Regular
37,Dishwash Liquid,Household,6.0,98.0,2026-03-09,Wholesale
38,Paneer 200g,Dairy,18.0,78.0,2026-06-26,Regular
39,Chips,Snacks,12.0,21.0,2026-04-23,Wholesale
40,Detergent 1kg,Household,8.0,126.0,2026-02-27,Regular
41,Namkeen 200g,Snacks,19.0,55.0,2026-05-22,Regular
42,Toothpaste,Personal Care,3.0,85.0,2026-06-11,Regular
43,Toothpaste,Personal Care,2.0,86.0,2026-03-26,Regular
44,Toothpaste,Personal Care,16.0,89.0,2026-02-24,Wholesale
45,Tea Powder 250g,Grocery,19.0,124.0,2026-05-02,Regular
46,Dishwash Liquid,Household,7.0,96.0,2026-01-25,Regular
47,Paneer 200g,Dairy,14.0,80.0,2026-04-16,Walk-in
48,Wheat Flour 5kg,Grocery,4.0,225.0,2026-01-16,Walk-in
49,Namkeen 200g,Snacks,8.0,56.0,2026-02-19,Regular
50,Detergent 1kg,Household,14.0,127.0,2026-02-16,Walk-in
51,Detergent 1kg,Household,3.0,,2026-04-24,Wholesale
52,Cooking Oil 1L,Grocery,18.0,145.0,2026-01-04,Regular
53,Toothpaste,Personal Care,14.0,87.0,2026-05-05,Walk-in
54,Shampoo,Personal Care,2.0,181.0,2026-02-12,Walk-in
55,Rice 5kg,Grocery,9.0,351.0,2026-04-27,Walk-in
56,Paneer 200g,Dairy,16.0,83.0,2026-02-09,Regular
57,Chips,Snacks,2.0,18.0,2026-05-29,Wholesale
58,WHEAT FLOUR 5KG  ,Grocery,2.0,220.0,2026-01-13,Wholesale
59,Dishwash Liquid,Household,17.0,98.0,2026-02-10,Regular
60,Sugar 1kg,Grocery,3.0,42.0,2026-06-02,Regular
61,Toothpaste,Personal Care,4.0,91.0,2026-05-26,Regular
62,Wheat Flour 5kg,Grocery,3.0,224.0,2026-04-18,Wholesale
63,Namkeen 200g,Snacks,7.0,59.0,2026-06-21,Wholesale
64,Namkeen 200g,Snacks,9.0,58.0,2026-04-12,Regular
65,Chips,Snacks,11.0,22.0,2026-01-19,Regular
66,Detergent 1kg,Household,19.0,134.0,2026-01-26,Regular
67,Shampoo,Personal Care,9.0,183.0,2026-02-03,Walk-in
68,Sugar 1kg,Grocery,12.0,43.0,2026-03-14,Regular
69,Detergent 1kg,Household,10.0,133.0,2026-06-06,Wholesale
70,Rice 5kg,Grocery,18.0,355.0,2026-03-18,Wholesale
71,Cooking Oil 1L,Grocery,9.0,147.0,2026-01-30,Regular
72,Tea Powder 250g,Grocery,10.0,119.0,2026-06-04,Regular
73,Namkeen 200g,Snacks,9.0,58.0,2026-05-10,Walk-in
74,Biscuits,Snacks,3.0,25.0,2026-06-12,Walk-in
75,Biscuits,Snacks,1.0,25.0,2026-03-27,Regular
76,Biscuits,Snacks,15.0,27.0,2026-05-22,Wholesale
77,Paneer 200g,Dairy,1.0,83.0,2026-01-29,Regular
78,Tea Powder 250g,Grocery,2.0,123.0,2026-04-05,Wholesale
79,Tea Powder 250g,Grocery,5.0,121.0,2026-01-11,Walk-in
80,Milk 1L,Dairy,12.0,50.0,2026-02-23,Wholesale
81,Toothpaste,Personal Care,4.0,95.0,2026-04-01,Wholesale
82,Paneer 200g,Dairy,5.0,84.0,2026-03-02,Regular
83,Soap,Personal Care,1.0,36.0,2026-02-15,Wholesale
84,Namkeen 200g,Snacks,8.0,61.0,2026-03-10,Regular
85,Cooking Oil 1L,Grocery,2.0,151.0,2026-05-01,Regular
86,Shampoo,Personal Care,12.0,182.0,2026-03-20,Regular
87,Toothpaste,Personal Care,7.0,85.0,2026-04-13,Walk-in
88,Biscuits,Snacks,9.0,26.0,2026-03-31,Wholesale
89,Curd 500g,Dairy,18.0,45.0,2026-03-26,Regular
90,Cooking Oil 1L,Grocery,6.0,149.0,2026-05-29,Walk-in
91,Wheat Flour 5kg,Grocery,20.0,216.0,2026-04-22,Walk-in
92,Namkeen 200g,Snacks,20.0,61.0,2026-05-11,Regular
93,Curd 500g,Dairy,7.0,44.0,2026-03-07,Regular
94,Paneer 200g,Dairy,17.0,75.0,2026-05-18,Wholesale
95,Shampoo,Personal Care,14.0,180.0,2026-01-18,Wholesale
96,Namkeen 200g,Snacks,11.0,64.0,2026-06-19,Regular
97,Chips,Snacks,10.0,23.0,2026-06-20,Walk-in
98,Namkeen 200g,Snacks,10.0,61.0,2026-05-22,Regular
99,Shampoo,Personal Care,13.0,181.0,2026-06-23,Wholesale
100,Soap,Personal Care,19.0,39.0,2026-03-19,Walk-in
101,Rice 5kg,Grocery,10.0,349.0,2026-02-23,Walk-in
102,Namkeen 200g,Snacks,15.0,62.0,2026-04-24,Wholesale
103,SHAMPOO  ,Personal Care,16.0,183.0,2026-02-13,Wholesale
104,Sugar 1kg,Grocery,17.0,44.0,2026-06-19,Wholesale
105,Namkeen 200g,Snacks,8.0,56.0,2026-06-22,Walk-in
106,Toothpaste,Personal Care,5.0,88.0,2026-01-07,Regular
107,Toothpaste,Personal Care,20.0,92.0,2026-01-19,Walk-in
108,Paneer 200g,Dairy,19.0,85.0,2026-02-19,Wholesale
109,Curd 500g,Dairy,13.0,42.0,2026-03-04,Regular
110,Rice 5kg,Grocery,14.0,346.0,2026-02-26,Regular
111,Detergent 1kg,Household,18.0,125.0,2026-03-05,Regular
